	Ritregla	ex_1_standardized	ex_2_standardized	ex_3_standardized	ex_1_original	ex_2_original	ex_3_original	ex_1_byt5-22-09	ex_2_byt5-22-09	ex_3_byt5-22-09	ex_1_byt5-23-12	ex_2_byt5-23-12	ex_3_byt5-23-12	ex_1_byt5-24-03	ex_2_byt5-24-03	ex_3_byt5-24-03	ex_1_greynir	ex_2_greynir	ex_3_greynir	ex_1_google	ex_2_google	ex_3_google	ex_1_word	ex_2_word	ex_3_word	ex_1_puki	ex_2_puki	ex_3_puki	ex_1_skrambi	ex_2_skrambi	ex_3_skrambi	ex_1_ice-gpt-sw3	ex_2_ice-gpt-sw3	ex_3_ice-gpt-sw3
193	21.1.1 (a)	Sumir fengu ís, aðrir vildu frekar köku.	Rúna vann fyrstu skákina, gerði svo tvö jafntefli en tapaði fjórðu skákinni.	Er ekki miklu sniðugra að skella bara buxunum í þvott núna og kaupa frekar rauðu peysuna í Sautján, hún var hvort eð er miklu flottari.	Sumir fengu ís aðrir vildu frekar köku.	Rúna vann fyrstu skákina gerði svo tvö jafntefli en tapaði fjórðu skákinni.	Er ekki miklu sniðugra að skella bara buxunum í þvott núna og kaupa frekar rauðu peysuna í Sautján hún var hvort eð er miklu flottari.	Sumir fengu ís en aðrir vildu frekar köku.	Rúna vann fyrstu skákina, gerði svo tvö jafntefli en tapaði fjórðu skákinni.	Er ekki miklu sniðugra að skella bara buxunum í þvott núna og kaupa frekar rauðu peysuna í Sautján, hún var hvort eð er miklu flottari.	Sumir fengu ís aðrir vildu frekar köku.	Rúna vann fyrstu skákina og gerði svo tvö jafntefli en tapaði fjórðu skákinni.	Er ekki miklu sniðugra að skella bara buxunum í þvott núna og kaupa frekar rauðu peysuna í Sautján, hún var hvort eð er miklu flottari.	Sumir fengu ís aðrir vildu frekar köku.	Rúna vann fyrstu skákina, gerði svo tvö jafntefli en tapaði fjórðu skákinni.	Er ekki miklu sniðugra að skella bara buxunum í þvott núna og kaupa frekar rauðu peysuna í Sautján, hún var hvort eð er miklu flottari.	Sumir fengu ís aðrir vildu frekar köku.	Rúna vann fyrstu skákina gerði svo tvö jafntefli en tapaði fjórðu skákinni.	Er ekki miklu sniðugra að skella bara buxunum í þvott núna og kaupa frekar rauðu peysuna í Sautján hún var hvort eð er miklu flottari.	Sumir fengu ís aðrir vildu frekar köku.	Rúna vann fyrstu skákina gerði svo tvö jafntefli en tapaði fjórðu skákinni.	Er ekki miklu sniðugra að skella bara buxunum í þvott núna og kaupa frekar rauðu peysuna í Sautján hún var hvort eð er miklu flottari.	Sumir fengu ís aðrir vildu frekar köku.	Rúna vann fyrstu skákina gerði svo tvö jafntefli en tapaði fjórðu skákinni.	Er ekki miklu sniðugra að skella bara buxunum í þvott núna og kaupa frekar rauðu peysuna í Sautján hún var hvort eð er miklu flottari.	Sumir fengu ís aðrir vildu frekar köku.	Rúna vann fyrstu skákina gerði svo tvö jafntefli en tapaði fjórðu skákinni.	Er ekki miklu sniðugra að skella bara buxunum í þvott núna og kaupa frekar rauðu peysuna í Sautján hún var hvort eð er miklu flottari.	Sumir fengu ís aðrir vildu frekar köku.	Rúna vann fyrstu skákina gerði svo tvö jafntefli en tapaði fjórðu skákinni.	Er ekki miklu sniðugra að skella bara buxunum í þvott núna og kaupa frekar rauðu peysuna í Sautján hún var hvort eð er miklu flottari.	Sumir fengu ís en aðrir vildu frekar köku.	Rúna vann fyrstu skákina, gerði svo tvö jafntefli en tapaði fjórðu skákinni.	Er ekki miklu sniðugra að skella bara buxunum í þvott núna og kaupa frekar rauðu peysuna í Sautján, hún var hvort eð er miklu flottari.
194	21.1.1 (b)	Sumir fengu ís en aðrir vildu frekar köku.	Þegar veðrið er gott líður mér vel.	Margt verðmætt má finna í jörðu í Mið-Austurlöndum og þar er olían þekktust.	Sumir fengu ís, en aðrir vildu frekar köku.	Þegar veðrið er gott, líður mér vel.	Margt verðmætt má finna í jörðu í Mið-Austurlöndum, og þar er olían þekktust.	Sumir fengu ís, en aðrir vildu frekar köku.	Þegar veðrið er gott, líður mér vel.	Margt verðmætt má finna í jörðu í Mið-Austurlöndum og þar er olían þekktust.	Sumir fengu ís, en aðrir vildu frekar köku.	Þegar veðrið er gott, líður mér vel.	Margt verðmætt má finna í jörðu í Mið-Austurlöndum, og þar er olían þekktust.	Sumir fengu ís, en aðrir vildu frekar köku.	Þegar veðrið er gott, líður mér vel.	Margt verðmætt má finna í jörðu í Mið-Austurlöndum, og þar er olían þekktust.	Sumir fengu ís, en aðrir vildu frekar köku.	Þegar veðrið er gott, líður mér vel.	Margt verðmætt má finna í jörðu í Mið-Austurlöndum, og þar er olían þekktust.	Sumir fengu ís, en aðrir vildu frekar köku.	Þegar veðrið er gott, líður mér vel.	Margt verðmætt má finna í jörðu í Mið-Austurlöndum, og þar er olían þekktust.	Sumir fengu ís, en aðrir vildu frekar köku.	Þegar veðrið er gott, líður mér vel.	Margt verðmætt má finna í jörðu í Mið-Austurlöndum, og þar er olían þekktust.	Sumir fengu ís, en aðrir vildu frekar köku.	Þegar veðrið er gott, líður mér vel.	Margt verðmætt má finna í jörðu í Mið-Austurlöndum, og þar er olían þekktust.	Sumir fengu ís, en aðrir vildu frekar köku.	Þegar veðrið er gott, líður mér vel.	Margt verðmætt má finna í jörðu í Mið-Austurlöndum, og þar er olían þekktust.	Sumir fengu ís en aðrir vildu frekar köku.	Þegar veðrið er gott líður mér vel.	Margt verðmætt má finna í jörðu í Mið-Austurlöndum, og þar er olían þekktust.
195	21.1.2 (a)	Þetta hús, sem var byggt 1920, er elsta húsið við götuna.	Gunnar, sem hafði verið leigubílstjóri í þrjátíu ár, lét ekki sitt eftir liggja.	Móðir mín, sem hafði ljóst hár, var systir Bjarna.	Þetta hús sem var byggt 1920 er elsta húsið við götuna.	Gunnar sem hafði verið leigubílstjóri í þrjátíu ár lét ekki sitt eftir liggja.	Móðir mín, sem hafði ljóst hár, var systir Bjarna.	Þetta hús sem var byggt 1920 er elsta húsið við götuna.	Gunnar sem hafði verið leigubílstjóri í þrjátíu ár lét ekki sitt eftir liggja.	Móðir mín, sem hafði ljóst hár, var systir Bjarna.	Þetta hús sem var byggt 1920 er elsta húsið við götuna.	Gunnar sem hafði verið leigubílstjóri í þrjátíu ár lét ekki sitt eftir liggja.	Móðir mín, sem hafði ljóst hár, var systir Bjarna.	Þetta hús sem var byggt 1920 er elsta húsið við götuna.	Gunnar sem hafði verið leigubílstjóri í þrjátíu ár lét ekki sitt eftir liggja.	Móðir mín, sem hafði ljóst hár, var systir Bjarna.	Þetta hús sem var byggt 1920 er elsta húsið við götuna.	Gunnar sem hafði verið leigubílstjóri í þrjátíu ár lét ekki sitt eftir liggja.	Móðir mín, sem hafði ljóst hár, var systir Bjarna.	Þetta hús sem var byggt 1920 er elsta húsið við götuna.	Gunnar sem hafði verið leigubílstjóri í þrjátíu ár lét ekki sitt eftir liggja.	Móðir mín, sem hafði ljóst hár, var systir Bjarna.	Þetta hús sem var byggt 1920 er elsta húsið við götuna.	Gunnar sem hafði verið leigubílstjóri í þrjátíu ár lét ekki sitt eftir liggja.	Móðir mín, sem hafði ljóst hár, var systir Bjarna.	Þetta hús sem var byggt 1920 er elsta húsið við götuna.	Gunnar sem hafði verið leigubílstjóri í þrjátíu ár lét ekki sitt eftir liggja.	Móðir mín, sem hafði ljóst hár, var systir Bjarna.	Þetta hús sem var byggt 1920 er elsta húsið við götuna.	Gunnar sem hafði verið leigubílstjóri í þrjátíu ár lét ekki sitt eftir liggja.	Móðir mín, sem hafði ljóst hár, var systir Bjarna.	Þetta hús sem var byggt 1920 er elsta húsið við götuna.	Gunnar sem hafði verið leigubílstjóri í þrjátíu ár lét ekki sitt eftir liggja.	Móðir mín, sem hafði ljóst hár, var systir Bjarna.
196	21.1.2 (b)	Sá sem fæst við erfitt verkefni verður að leggja hart að sér.	Allir sem ég þekki ætla til Akureyrar í sumar.	Annars staðar á Norðurlöndunum þar sem streymi hefur verið mun meira heldur en á Íslandi þá má sjá að það hefur skilað misgóðum árangri.	Sá, sem fæst við erfitt verkefni, verður að leggja hart að sér.	Allir, sem ég þekki, ætla til Akureyrar í sumar.	Annars staðar á Norðurlöndunum þar sem streymi hefur verið mun meira heldur en á Íslandi, þá má sjá að það hefur skilað misgóðum árangri.	Sá, sem fæst við erfitt verkefni, verður að leggja hart að sér.	Allir, sem ég þekki, ætla til Akureyrar í sumar.	Annars staðar á Norðurlöndunum þar sem streymi hefur verið mun meira heldur en á Íslandi, þá má sjá að það hefur skilað misgóðum árangri.	Sá, sem fæst við erfitt verkefni, verður að leggja hart að sér.	Allir, sem ég þekki, ætla til Akureyrar í sumar.	Annars staðar á Norðurlöndunum þar sem streymi hefur verið mun meira heldur en á Íslandi, þá má sjá að það hefur skilað misgóðum árangri.	Sá, sem fæst við erfitt verkefni, verður að leggja hart að sér.	Allir, sem ég þekki, ætla til Akureyrar í sumar.	Annars staðar á Norðurlöndunum þar sem streymi hefur verið mun meira heldur en á Íslandi, má sjá að það hefur skilað misgóðum árangri.	Sá, sem fæst við erfitt verkefni, verður að leggja hart að sér.	Allir, sem ég þekki, ætla til Akureyrar í sumar.	Annars staðar á Norðurlöndunum þar sem streymi hefur verið mun meira heldur en á Íslandi, þá má sjá að það hefur skilað misgóðum árangri.	Sá, sem fæst við erfitt verkefni, verður að leggja hart að sér.	Allir, sem ég þekki, ætla til Akureyrar í sumar.	Annars staðar á Norðurlöndunum þar sem streymi hefur verið mun meira heldur en á Íslandi, þá má sjá að það hefur skilað misgóðum árangri.	Sá, sem fæst við erfitt verkefni, verður að leggja hart að sér.	Allir, sem ég þekki, ætla til Akureyrar í sumar.	Annars staðar á Norðurlöndunum þar sem streymi hefur verið mun meira heldur en á Íslandi, þá má sjá að það hefur skilað misgóðum árangri.	Sá, sem fæst við erfitt verkefni, verður að leggja hart að sér.	Allir, sem ég þekki, ætla til Akureyrar í sumar.	Annars staðar á Norðurlöndunum þar sem streymi hefur verið mun meira heldur en á Íslandi, þá má sjá að það hefur skilað misgóðum árangri.	Sá, sem fæst við erfitt verkefni, verður að leggja hart að sér.	Allir, sem ég þekki, ætla til Akureyrar í sumar.	Annars staðar á Norðurlöndunum þar sem streymi hefur verið mun meira heldur en á Íslandi, þá má sjá að það hefur skilað misgóðum árangri.	Sá sem fæst við erfitt verkefni verður að leggja hart að sér.	Allir sem ég þekki ætla til Akureyrar í sumar.	Annars staðar á Norðurlöndunum þar sem streymi hefur verið mun meira heldur en á Íslandi, þá má sjá að það hefur skilað misgóðum árangri.
197	21.2.1	Kórstjórinn okkar, hann Egill, var veikur í gær.	Þarna voru margir, meðal annars frændfólk mitt.	Faðir John, John Ernst Steinbeck eldri, vann sem fjársýslumaður í Monterey-sýslu.	Kórstjórinn okkar hann Egill var veikur í gær.	Þarna voru margir meðal annars frændfólk mitt.	Faðir John John Ernst Steinbeck eldri vann sem fjársýslumaður í Monterey-sýslu.	Kórstjórinn okkar hann Egill var veikur í gær.	Þarna voru margir, meðal annars frændfólk mitt.	Faðir John John Ernst Steinbeck eldri vann sem fjársýslumaður í Monterey-sýslu.	Kórstjórinn okkar hann Egill var veikur í gær.	Þarna voru margir, meðal annars frændfólk mitt.	Faðir John, John Ernst Steinbeck eldri, vann sem fjársýslumaður í Monterey-sýslu.	Kórstjórinn okkar hann Egill var veikur í gær.	Þarna voru margir, meðal annars frændfólk mitt.	Faðir John John Ernst Steinbeck eldri vann sem fjársýslumaður í Monterey-sýslu.	Kórstjórinn okkar hann Egill var veikur í gær.	Þarna voru margir meðal annars frændfólk mitt.	Faðir John Ernst Steinbeck eldri vann sem fjársýslumaður í Monterey-sýslu.	Kórstjórinn okkar hann Egill var veikur í gær.	Þarna voru margir meðal annars frændfólk mitt.	Faðir John John Ernst Steinbeck eldri vann sem fjársýslumaður í Monterey-sýslu.	Kórstjórinn okkar hann Egill var veikur í gær.	Þarna voru margir meðal annars frændfólk mitt.	Faðir John Ernst Steinbekk eldri vann sem fjársýslumaður í Monte Rey-sýslu.	Kórstjórinn okkar hann Egill var veikur í gær.	Þarna voru margir meðal annars frændfólk mitt.	Faðir John John Ernst Steinbekk eldri vann sem fjársýslumaður í Montgrey-sýslu.	Kórstjórinn okkar hann Egill var veikur í gær.	Þarna voru margir meðal annars frændfólk mitt.	Faðir John John Ernst Steinbeck eldri vann sem fjársýslumaður í Monterey-sýslu.	Kórstjórinn okkar, hann Egill, var veikur í gær.	Þarna voru margir meðal annars frændfólk mitt.	Faðir John John Ernst Steinbeck eldri vann sem fjársýslumaður í Monterey-sýslu.
198	21.2.2	Sigrún, Jón, Emilía og Aron eru systkin.	Í veislunni voru sniglar í forrétt, nautakjöt í aðalrétt og ís í eftirrétt.	Hefur hann síðan þá komið fram sem gestaleikari í þáttum á borð við The X-Files, Charmed, Megas XLR, The Replacements og Xena: Warrior Princess.	Sigrún Jón Emilía og Aron eru systkin.	Í veislunni voru sniglar í forrétt nautakjöt í aðalrétt og ís í eftirrétt.	Hefur hann síðan þá komið fram sem gestaleikari í þáttum á borð við The X-Files Charmed Megas XLR The Replacements og Xena: Warrior Princess.	Sigrún Jón Emilía og Aron eru systkin.	Í veislunni voru sniglar í forrétt, nautakjöt í aðalrétt og ís í eftirrétt.	Hefur hann síðan þá komið fram sem gestaleikari í þáttum á borð við The X-Files, Charmed Megas, XLR, The Replacements og Xena: Warrior Princess.	Sigrún Jón Emilía og Aron eru systkin.	Í veislunni voru sniglar í forrétt, nautakjöt í aðalrétt og ís í eftirrétt.	Hefur hann síðan þá komið fram sem gestaleikari í þáttum á borð við The X-Files, Charmed Megas, XLR, The Replacements og Xena: Warrior Princess.	Sigrún Jón Emilía og Aron eru systkini.	Í veislunni voru sniglar í forrétt, nautakjöt í aðalrétt og ís í eftirrétt.	Hefur hann síðan þá komið fram sem gestaleikari í þáttum á borð við The X-Files, Charmed, Megas, XLR, The Replacements og Xena: Warrior Princess.	Sigrún Jón Emilía og Aron eru systkin.	Í veislunni voru sniglar í forrétt nautakjöt í aðalrétt og ís í eftirrétt.	Hefur hann síðan þá komið fram sem gestaleikari í þáttum á borð við The X-Files Charmed Megas XLR The Replacements og Lena: Warrior Princess.	Sigrún Jóna Emilía og Aron eru systkin.	Í veislunni voru sniglar í forrétt nautakjöt í aðalrétt og ís í eftirrétt.	Hefur hann síðan þá komið fram sem gestaleikari í þáttum á borð við The X-Files Charmed Megas XLR The Replacements og Xena: Warrior Princess.	Sigrún Jón Emilía og Aron eru systkin.	Í veislunni voru sniglar í forrétt nautakjöt í aðalrétt og ís í eftirrétt.	Hefur hann síðan þá komið fram sem gestaleikari í þáttum á borð við The X-Files Carmen Megas XLR The Replacements og Sena: Aríur Princes.	Sigrún Jón Emilía og Aron eru systkin.	Í veislunni voru sniglar í forrétt nautakjöt í aðalrétt og ís í eftirrétt.	Hefur hann síðan þá komið fram sem gestaleikari í þáttum á borð við Te X-Filts Charmed Megas XLR Te Replacements og Gena: Warrior Prinsess.	Sigrún Jón Emilía og Aron eru systkin.	Í veislunni voru sniglar í forrétt nautakjöt í aðalrétt og ís í eftirrétt.	Hefur hann síðan þá komið fram sem gestaleikari í þáttum á borð við Thea X-Files Charmed Mega LR Thea Replacements og Xenía: Warrior Prinsessa.	Sigrún Jón Emilía og Aron eru systkin.	Í veislunni voru sniglar í forrétt, nautakjöt í aðalrétt og ís í eftirrétt.	Hefur hann síðan þá komið fram sem gestaleikari í þáttum á borð við The X-Files Charmed Megas XLR The Replacements og Xena: Warrior Princess.
199	21.2.3	Þetta er langtum, langtum skemmtilegra.	Já, já, við skulum bara segja það.	Þetta geri ég aldrei, aldrei aftur.	Þetta er langtum langtum skemmtilegra.	Já já, við skulum bara segja það.	Þetta geri ég aldrei aldrei aftur.	Þetta er langtum langtum skemmtilegra.	„Já, já, við skulum bara segja það.“	Þetta geri ég aldrei aldrei aftur.	Þetta er langtum skemmtilegra.	Já já, við skulum bara segja það.	Þetta geri ég aldrei aftur.	Þetta er langtum langtum skemmtilegra.	Já já, við skulum bara segja það.	Þetta geri ég aldrei, aldrei aftur.	Þetta er langtum skemmtilegra.	Já, við skulum bara segja það.	Þetta geri ég aldrei aftur.	Þetta er langtum langtum skemmtilegra.	Já já, við skulum bara segja það.	Þetta geri ég aldrei aldrei aftur.	Þetta er langtum skemmtilegra.	Já, við skulum bara segja það.	Þetta geri ég aldrei aftur.	Þetta er langtum langtum skemmtilegra.	Já já, við skulum bara segja það.	Þetta geri ég aldrei aldrei aftur.	Þetta er langtum langtum skemmtilegra.	Já já, við skulum bara segja það.	Þetta geri ég aldrei aldrei aftur.	Þetta er langtum, langtum skemmtilegra.	„Já, já, við skulum bara segja það.“	Þetta geri ég aldrei aftur.
200	21.2.4	Vá, hvað ég var töff.	Ó, farðu þér nú ekki að voða.	Sæl, Anna, og til hamingju með afmælið.	Vá hvað ég var töff.	Ó farðu þér nú ekki að voða.	Sæl Anna og til hamingju með afmælið.	Vá, hvað ég var töff.	Ó, farðu þér nú ekki að voða.	Sæl Anna og til hamingju með afmælið.	Vá hvað ég var töff.	Ó, farðu þér nú ekki að voða.	Sæl Anna og til hamingju með afmælið.	Vá, hvað ég var töff.	Ó, farðu þér nú ekki að voða.	Sæl Anna og til hamingju með afmælið.	Vá hvað ég var töff.	Ó farðu þér nú ekki að voða.	Sæl Anna og til hamingju með afmælið.	Vá hvað ég var töff.	Ó farðu þér nú ekki að voða.	Sæl Anna og til hamingju með afmælið.	Vá hvað ég var töff.	Ó farðu þér nú ekki að voða.	Sæl Anna og til hamingju með afmælið.	Vá hvað ég var töff.	Ó farðu þér nú ekki að voða.	Sæl Anna og til hamingju með afmælið.	Vá hvað ég var töff.	Ó farðu þér nú ekki að voða.	Sæl Anna og til hamingju með afmælið.	Vá hvað ég var töff.	„Farðu þér nú ekki að voða.“	Sæl Anna og til hamingju með afmælið.
201	21.2.5 (a)	Á endanum var ég stopp á Esso í Ártúnsbrekkunni og drengurinn stakk hökunni ofan í bringu og muldraði: „Takk fyrir farið og takk kærlega fyrir mig,“ eins og hann væri ekki vanur því að fólk gerði honum það mikla góðverk að skutla honum smáspöl.	„Þetta skil ég vel,“ sagði Anna.	„Nú er tíminn,“ sagði hann, „til að skipta um rafhlöðu“.	Á endanum var ég stopp á Esso í Ártúnsbrekkunni og drengurinn stakk hökunni ofan í bringu og muldraði: „Takk fyrir farið og takk kærlega fyrir mig“ eins og hann væri ekki vanur því að fólk gerði honum það mikla góðverk að skutla honum smáspöl.	„Þetta skil ég vel“ sagði Anna.	„Nú er tíminn“ sagði hann, „til að skipta um rafhlöðu“.	Á endanum var ég stopp á Esso í Ártúnsbrekkunni og drengurinn stakk hökunni ofan í bringu og muldraði: „Takk fyrir farið og takk kærlega fyrir mig“ eins og hann væri ekki vanur því að fólk gerði honum það mikla góðverk a	„Þetta skil ég vel“ sagði Anna.	„Nú er tíminn“ sagði hann, „til að skipta um rafhlöðu“.	Á endanum var ég stopp á Esso í Ártúnsbrekkunni og drengurinn stakk hökunni ofan í bringu og muldraði: „Takk fyrir farið og takk kærlega fyrir mig“ eins og hann væri ekki vanur því að fólk gerði honum það mikla góðverk a	„Þetta skil ég vel,“ sagði Anna.	„Nú er tíminn,“ sagði hann, „til að skipta um rafhlöðu.“	Á endanum var ég stopp á Esso í Ártúnsbrekkunni og drengurinn stakk hökunni ofan í bringu og muldraði: „Takk fyrir farið og takk kærlega fyrir mig“ eins og hann væri ekki vanur því að fólk gerði honum það mikla góðverk a	„Þetta skil ég vel,“ sagði Anna.	„Nú er tíminn,“ sagði hann, „til að skipta um rafhlöðu.“	Á endanum var ég stopp á Esso í Ártúnsbrekkunni og drengurinn stakk hökunni ofan í bringu og muldraði: „Takk fyrir farið og takk kærlega fyrir mig“ eins og hann væri ekki vanur því að fólk gerði honum það mikla góðverk að skutla honum smáspöl.	„Þetta skil ég vel“ sagði Anna.	„Nú er tíminn“ sagði hann, „til að skipta um rafhlöðu“.	Á endanum var ég stopp á Esso í Ártúnsbrekkunni og drengurinn stakk hökunni ofan í bringu og muldraði: „Takk fyrir farið og takk kærlega fyrir mig“ eins og hann væri ekki vanur því að fólk gerði honum það mikla góðverk að skutla honum smáspöl.	„Þetta skil ég vel“ sagði Anna.	„Nú er tíminn“ sagði hann, „til að skipta um rafhlöðu“.	Á endanum var ég stopp á Essa í Ártúnsbrekkunni og drengurinn stakk hökunni ofan í bringu og muldraði: „Takk fyrir farið og takk kærlega fyrir mig“ eins og hann væri ekki vanur því að fólk gerði honum það mikla góðverk að skutla honum smáspöl.	„Þetta skil ég vel“ sagði Anna.	„Nú er tíminn“ sagði hann, „til að skipta um rafhlöðu“.	Á endanum var ég stopp á Esso í Ártúnsbrekkunni og drengurinn stakk hökunni ofan í bringu og muldraði: „Takk fyrir farið og takk kærlega fyrir mig“ eins og hann væri ekki vanur því að fólk gerði honum það mikla góðverk að skutla honum smáspöl.	„Þetta skil ég vel“ sagði Anna.	„Nú er tíminn“ sagði hann, „til að skipta um rafhlöðu“.	Á endanum var ég stopp á Ess í Ártúnsbrekkunni og drengurinn stakk hökunni ofan í bringu og muldraði: „Takk fyrir farið og takk kærlega fyrir mig“ eins og hann væri ekki vanur því að fólk gerði honum það mikla góðverk að skutla honum smáspöl.	„Þetta skil ég vel“ sagði Anna.	„Nú er tíminn“ sagði hann, „til að skipta um rafhlöðu“.	Á endanum var ég stopp á Esso í Ártúnsbrekkunni og drengurinn stakk hökunni ofan í bringu og muldraði: „Takk fyrir farið og takk kærlega fyrir mig“ eins og hann væri ekki vanur því að fólk gerði honum það mikla góðverk að skutla honum smáspöl.	„Þetta skil ég vel“ sagði Anna.	„Nú er tíminn“ sagði hann, „til að skipta um rafhlöðu“.
202	21.2.5 (b)	„Nonni!“ kallaði ég þá.	„Þetta er ömurlegt!“ hrópaði Anna.	„Eruð þið búin að skipta um rafhlöðu?“ spurði hann.	„Nonni!,“ kallaði ég þá.	„Þetta er ömurlegt!,“ hrópaði Anna.	„Eruð þið búin að skipta um rafhlöðu?,“ spurði hann.	„Nonni!“ kallaði ég þá.	„Þetta er ömurlegt!“ hrópaði Anna.	„Eruð þið búin að skipta um rafhlöðu?“ spurði hann.	„Nonni!“ kallaði ég þá.	„Þetta er ömurlegt!“ hrópaði Anna.	„Eruð þið búin að skipta um rafhlöðu?“ spurði hann.	„Nonni!,“ kallaði ég þá.	„Þetta er ömurlegt!“ hrópaði Anna.	„Eruð þið búin að skipta um rafhlöðu?,“ spurði hann.	„Nonni! ,“ Kallaði ég þá.	„Þetta er ömurlegt! ,“ Hrópaði Anna.	„Eruð þið búin að skipta um rafhlöðu? ,“ Spurði hann.	„Nonni!,“ kallaði ég þá.	„Þetta er ömurlegt!,“ hrópaði Anna.	„Eruð þið búin að skipta um rafhlöðu?,“ spurði hann.	„Nonni!,“ kallaði ég þá.	„Þetta er ömurlegt!,“ hrópaði Anna.	„Eruð þið búin að skipta um rafhlöðu?,“ spurði hann.	„Nonni!,“ kallaði ég þá.	„Þetta er ömurlegt!,“ hrópaði Anna.	„Eruð þið búin að skipta um rafhlöðu?,“ spurði hann.	„Nánni!,“ kallaði ég þá.	„Þetta er ömurlegt!,“ hrópaði Anna.	„Eruð þið búin að skipta um rafhlöðu?,“ spurði hann.	„Nonni!“ kallaði ég þá.	„Þetta er ömurlegt!“ hrópaði Anna.	„Eruð þið búin að skipta um rafhlöðu?“ spurði hann.
203	21.2.6 (a)	Robert Harley, jarl af Oxford og Mortimer, samdi um lausn hans gegn því að hann gerðist njósnari.	Rósa Jónsdóttir, forstjóri Sjúkrahússins á Akureyri, var í leyfi í fyrra.	Árið 1845 lést Jónas Hallgrímsson, skáld og náttúrufræðingur.	Robert Harley jarl af Oxford og Mortimer samdi um lausn hans gegn því að hann gerðist njósnari.	Rósa Jónsdóttir forstjóri Sjúkrahússins á Akureyri var í leyfi í fyrra.	Árið 1845 lést Jónas Hallgrímsson skáld og náttúrufræðingur.	Robert Harley jarl af Oxford og Mortimer samdi um lausn hans gegn því að hann gerðist njósnari.	Rósa Jónsdóttir forstjóri Sjúkrahússins á Akureyri var í leyfi í fyrra.	Árið 1845 lést Jónas Hallgrímsson skáld og náttúrufræðingur.	Robert Harley jarl af Oxford og Mortimer samdi um lausn hans gegn því að hann gerðist njósnari.	Rósa Jónsdóttir forstjóri Sjúkrahússins á Akureyri var í leyfi í fyrra.	Árið 1845 lést Jónas Hallgrímsson skáld og náttúrufræðingur.	Robert Harley jarl af Oxford og Mortimer samdi um lausn hans gegn því að hann gerðist njósnari.	Rósa Jónsdóttir forstjóri Sjúkrahússins á Akureyri var í leyfi í fyrra.	Árið 1845 lést Jónas Hallgrímsson skáld og náttúrufræðingur.	Robert Harley jarl af Oxford og Mortimer samdi um lausn hans gegn því að hann gerðist njósnari.	Rósa Jónsdóttir forstjóri Sjúkrahússins á Akureyri var í leyfi í fyrra.	Árið 1845 lést Jónas Hallgrímsson skáld og náttúrufræðingur.	Robert Harley earl of Oxford og Mortimer samdi um lausn hans gegn því að hann gerðist njósnari.	Rósa Jónsdóttir forstjóri Sjúkrahússins á Akureyri var í leyfi í fyrra.	Árið 1845 lést Jónas Hallgrímsson skáld og náttúrufræðingur.	Robert Harley jarl af Oxford og Tortímir samdi um lausn hans gegn því að hann gerðist njósnari.	Rósa Jónsdóttir forstjóri Sjúkrahússins á Akureyri var í leyfi í fyrra.	Árið 1845 lést Jónas Hallgrímsson skáld og náttúrufræðingur.	Rábert Hagley jarl af Oxford og Mortimer samdi um lausn hans gegn því að hann gerðist njósnari.	Rósa Jónsdóttir forstjóri Sjúkrahússins á Akureyri var í leyfi í fyrra.	Árið 1845 lést Jónas Hallgrímsson skáld og náttúrufræðingur.	Róbert Halley jarl af Oxford og orti er samdi um lausn hans gegn því að hann gerðist njósnari.	Rósa Jónsdóttir forstjóri Sjúkrahússins á Akureyri var í leyfi í fyrra.	Árið 1845 lést Jónas Hallgrímsson skáld og náttúrufræðingur.	Robert Harley jarl af Oxford og Mortimer samdi um lausn hans gegn því að hann gerðist njósnari.	Rósa Jónsdóttir forstjóri Sjúkrahússins á Akureyri var í leyfi í fyrra.	Árið 1845 lést Jónas Hallgrímsson skáld og náttúrufræðingur.
